annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Millions
2017065;MARDI   ;15/08/2017;3;15/10/2017;14;30;46;10;35;4;10;-10-14-30-35-46-;-4-10-;0;0;0;0;0;0;1;4;203988,9;3;18;4188,6;70;397;202,5;155;796;141;146;930;68,4;2450;12204;24;3173;18107;17,1;7465;43179;13,5;13161;64398;12,8;53948;277649;8,9;128998;667406;4,5;0;0;0;0;14;287,5;37;20,1;557;4,5;723;4;3232;3,1;5256;12,4;12872;2,3;118413;2,7;IW0762686;;
2017066;VENDREDI;18/08/2017;4;18/10/2017;39;42;24;45;2;2;8;-2-24-39-42-45-;-2-8-;0;0;0;0;3;346160,2;0;5;48374,8;4;36;3286,3;128;650;194,1;383;2017;87,3;242;1318;75,8;6363;30792;14,9;5727;30161;16,1;11665;62411;14,7;36534;173919;7,4;89135;455753;8,5;181110;946271;5;0;0;0;0;29;203,9;71;15,3;1595;2,3;1238;3,4;8694;1,7;14567;6,6;19783;2,2;204277;2,3;NS4614807;;
2017067;MARDI   ;22/08/2017;1;22/10/2017;10;12;17;3;27;3;5;-3-10-12-17-27-;-3-5-;1;1;44105265;3;12;64840,1;1;8;22653;38;126;703,5;373;1540;61,3;777;3727;35,4;537;2247;33,3;7598;36864;9,3;11374;48664;7,4;19176;79413;8,6;29239;149279;6,5;113584;531479;5,5;202540;930622;3,8;0;0;16;232,3;106;7,9;191;4,4;1807;1,5;3033;1;6824;1,6;8125;9,1;28388;1,1;137444;2,6;AO0810143;;
2017068;VENDREDI;25/08/2017;1;25/10/2017;15;7;1;47;5;9;12;-1-5-7-15-47-;-9-12-;0;1;17000000;0;2;495917,1;4;14;16500,6;4;24;4708;219;841;143,3;196;1054;159,6;582;2304;41,4;2798;14733;29,8;7686;33589;13,8;23641;98628;8,9;13610;74972;16,5;97639;449128;8,3;286807;1254375;3,6;0;0;0;0;49;124,7;43;26,2;633;6;1913;2,3;2917;5,3;4663;21,3;23283;1,9;159303;3;NE6004308;;
2017069;MARDI   ;29/08/2017;2;29/10/2017;4;12;32;15;38;1;5;-4-12-15-32-38-;-1-5-;0;0;0;0;1;695443,6;0;4;40494,1;2;29;2731,9;91;567;149;223;1155;102,1;208;1180;56,6;3564;17328;17,7;4662;23963;13,5;10274;51303;12;19117;91726;9,5;70820;350582;7,4;153741;732569;4,3;0;0;0;0;23;204,5;47;18,4;897;3,3;1216;2,8;4774;2,4;7863;9,7;17637;1,9;152544;2,4;IE6555666;;
2017070;VENDREDI;01/09/2017;1;01/11/2017;8;7;3;14;49;5;8;-3-7-8-14-49-;-5-8-;1;1;28287321;0;3;344019,4;0;5;48075,6;15;44;2672,1;245;955;131,3;616;2749;63,6;461;1830;54,2;9145;41270;11;10226;43119;11,2;20789;85550;10,6;42687;204738;6,3;132438;595082;6,5;270315;1179926;4;0;0;2;2738,1;62;20;157;7,9;2258;1,8;2658;1,8;10420;1,6;13634;8;33406;1,4;201987;2,6;KJ4514011;;
2017071;MARDI   ;05/09/2017;2;05/11/2017;28;18;29;6;9;9;1;-6-9-18-28-29-;-1-9-;0;0;0;0;5;142799,2;3;12;13858,1;15;57;1427;218;906;95,7;382;1668;72,6;437;1603;42,8;5296;21772;14,5;7440;31037;10,7;15420;65089;9,7;22674;98087;9,1;91111;391894;6,8;192954;838812;3,9;0;0;6;689,3;63;14,8;115;8,1;1388;2,3;2027;1,8;5956;2,1;8330;9,9;25041;1,5;148283;2,7;KD8475479;;
2017072;VENDREDI;08/09/2017;3;08/11/2017;42;47;24;49;9;1;5;-9-24-42-47-49-;-1-5-;0;0;0;0;1;1051958,4;0;4;61253,2;5;24;4993,4;120;580;220,4;341;1466;121,7;293;1346;75,1;5086;22753;20,4;6451;29517;16,6;14388;65617;14,2;29699;130535;10;101385;463292;8,5;224214;1003813;4,8;0;0;0;0;25;283,4;89;14,7;1170;3,8;1421;3,6;6964;2,5;12420;9,3;23449;2,2;238385;2,3;WA6281732;;
2017073;MARDI   ;12/09/2017;4;12/11/2017;35;17;29;10;27;4;11;-10-17-27-29-35-;-4-11-;0;0;0;0;2;408037,8;4;5;38014,6;5;26;3575,7;139;697;142,2;265;1255;110,2;367;1740;45,1;3469;17329;20,8;6251;28998;13,1;17903;78450;9,2;17180;86249;11,8;82774;387697;7,9;215457;989179;3,8;0;0;2;2168;27;36,4;76;12,9;852;3,9;1510;2,5;4191;3,2;6686;12,9;19953;1,9;148667;2,8;VU3938254;;
2017074;VENDREDI;15/09/2017;Super Jackpot et tirages suivants;15/11/2017;44;49;13;18;37;9;12;-13-18-37-44-49-;-9-12-;0;0;0;0;6;354592;4;19;26080,5;11;42;5770,9;324;1418;182,3;529;2533;142,4;817;3429;59,6;7697;36245;26;15007;64513;15,4;39020;159188;11,8;41090;190862;13,9;211133;919842;8,6;552643;2283940;4,3;0;0;2;5250,3;63;37,7;96;24,7;1499;5,4;3037;3;7799;4,1;12977;16,1;42343;2,2;366031;2,8;SQ4050119;;
2017075;MARDI   ;19/09/2017;Super Jackpot et tirages suivants;19/11/2017;45;21;1;8;30;3;2;-1-8-21-30-45-;-2-3-;0;0;0;3;8;174307;2;11;29525,8;7;41;3874,6;261;1049;161,5;393;2091;113,1;553;2210;60,7;6125;30268;20,4;10281;47511;13,7;20168;97136;12,7;31122;157465;11;148163;696585;7,5;291073;1405122;4,5;0;0;2;3218,5;43;33,9;78;18,7;1256;3,9;2246;2,5;6657;3;10965;11,7;32635;1,7;283247;2,2;ED2944008;;
2017076;VENDREDI;22/09/2017;Super Jackpot et tirages suivants;22/11/2017;6;31;39;42;11;3;1;-6-11-31-39-42-;-1-3-;0;0;0;0;2;963345,2;3;9;49860,9;11;64;3429,6;262;1266;184,9;583;2671;122,3;574;2757;67,2;9643;42947;19,8;12677;59276;15,2;28415;132787;12,8;52633;231066;10,4;199377;888030;8,1;432654;1963331;4,5;0;0;1;9165,6;56;37;101;20,5;1902;3,7;2590;3,1;10809;2,6;17113;10,7;40503;2;370831;2,4;SZ0801375;;
2017077;MARDI   ;26/09/2017;Super Jackpot et tirages suivants;26/11/2017;40;29;1;48;41;12;6;-1-29-40-41-48-;-6-12-;0;0;0;1;8;199677,1;2;7;53150,9;12;42;4332,9;157;800;242,6;345;1752;154,6;351;1916;80,2;5441;26674;26,5;7359;37830;19,7;17811;94285;15;31170;148962;13,4;117643;596975;10;295894;1488156;4,9;0;0;2;3659,7;23;72,1;57;29,1;1098;5,1;1430;4,5;6261;3,6;11493;12,7;23565;2,8;264254;2,7;TF3641419;;
2017078;VENDREDI;29/09/2017;Super Jackpot et tirages suivants;29/11/2017;18;32;7;48;19;3;7;-7-18-19-32-48-;-3-7-;0;0;0;2;7;320207,6;3;20;26103;30;124;2059,3;460;2029;134,2;1424;6348;59,8;764;3908;55,1;21758;91021;10,9;19526;83594;12,5;35011;162999;12,1;110028;453867;6,1;281209;1191188;7;502349;2300570;4,5;1;9521,8;5;227,3;110;21,9;322;7,5;4771;1,7;4174;2,2;23602;1,4;32601;6,5;59155;1,6;446044;2,3;MR1377345;;
2017079;MARDI   ;03/10/2017;Super Jackpot et tirages suivants;03/12/2017;32;6;50;24;48;1;5;-6-24-32-48-50-;-1-5-;0;0;0;2;4;1504612,3;2;17;29859,2;18;70;3546,9;307;1469;180,2;634;2999;123,2;734;3497;59,9;10024;46207;20,8;14034;65740;15,5;31404;147110;13,1;59119;262334;10,4;203815;952354;8,6;463491;2107578;4,7;1;9540,8;1;1139,2;54;44,8;133;18,2;1976;4,1;2765;3,4;11673;2,8;22199;9,6;40448;2,4;438244;2,3;VF4491174;;
2017080;VENDREDI;06/10/2017;1;06/12/2017;15;1;9;25;19;1;7;-1-9-15-19-25-;-1-7-;0;1;190000000;4;16;1291056;2;22;27910,6;43;161;1865,4;947;3119;102,7;2014;6365;70,2;1532;5668;44,7;23573;79614;14,6;32229;116308;10,6;57231;221456;10,5;103872;363925;9;379230;1438780;6,8;724921;2939995;4,1;0;0;7;1926,6;219;13,9;433;7;5303;1,9;7053;1,7;21853;1,9;29547;9,1;80174;1,5;526510;2,5;KP2029992;;
2017081;MARDI   ;10/10/2017;2;10/12/2017;36;4;37;21;34;6;3;-4-21-34-36-37-;-3-6-;0;0;0;0;1;841908,4;1;4;49022,5;4;26;3688,9;86;466;219,5;287;1361;104,9;188;989;81,8;5001;21211;17,5;4792;23807;16,5;9831;49395;15,1;30122;121922;8,6;78331;368630;8,5;160744;763924;5;0;0;0;0;22;268,8;72;15,1;1179;3,1;1056;4;7347;2;13694;7;18417;2,3;214000;2,2;NJ3275440;;
2017082;VENDREDI;13/10/2017;3;13/12/2017;23;37;50;29;45;5;11;-23-29-37-45-50-;-5-11-;0;0;0;0;2;737887;3;9;38191,6;9;45;3736,1;210;893;200,8;525;2134;117,3;491;2048;69,3;7090;30447;21,4;10915;43671;15,8;25436;96775;13,5;38955;164479;11,2;157850;637728;8,6;372738;1420204;4,8;0;0;0;0;32;323,9;111;17,2;1369;4,7;2180;3,4;7627;3,4;13892;12,1;31200;2,4;327577;2,5;EX2045952;;
2017083;MARDI   ;17/10/2017;4;17/12/2017;19;26;17;13;36;2;3;-13-17-19-26-36-;-2-3-;0;0;0;0;0;0;2;8;130419,7;1;30;3213,6;174;783;131,3;286;1482;96,8;293;1513;53,8;4283;19604;19,1;7740;36243;10,9;14203;66783;11,2;20873;97256;10,9;110707;501781;6,3;201881;933246;4,1;0;0;1;4592,8;37;28,1;70;14,8;964;3,6;1842;2,2;4925;2,8;7111;12,9;27538;1,5;191886;2,3;NF8021678;;
2017084;VENDREDI;20/10/2017;5;20/12/2017;4;27;23;30;17;3;8;-4-17-23-27-30-;-3-8-;0;0;0;3;8;151492,3;3;15;18818,2;19;84;1643,6;369;1525;96,5;750;3401;60,4;735;2873;40,5;9225;43688;12,2;13199;56967;9,9;25288;110324;9,7;42781;200749;7,5;161790;712640;6,3;318974;1403739;3,9;1;5643,1;3;224,6;80;17,8;181;7,9;2130;2,2;3063;1,8;9500;2;13861;9,1;37529;1,5;248704;2,4;OC8519065;;
2017085;MARDI   ;24/10/2017;1;24/12/2017;27;9;33;13;11;10;7;-9-11-13-27-33-;-7-10-;0;1;65407072;0;6;148690,1;1;11;18889,9;18;54;1882,1;249;1277;84,8;490;1817;83,2;524;2655;32,3;5497;22229;17,7;10107;44165;9,4;20872;95656;8,2;24316;103819;10,7;118049;523928;6,4;243747;1148829;3,5;0;0;4;1144,5;62;16,7;119;8,7;1355;2,6;2561;1,5;5804;2,4;8292;11;29487;1,4;167816;2,6;BO7166168;;
2017086;VENDREDI;27/10/2017;1;27/12/2017;39;23;16;32;3;1;4;-3-16-23-32-39-;-1-4-;0;1;17000000;1;3;356433,1;1;16;15565,7;4;38;3205,7;207;953;136,3;306;1563;116;483;2301;44,7;4734;22235;21,3;7227;35272;14,1;17197;86571;10,9;25615;117047;11,4;105806;499948;8;238386;1171498;4,2;1;5478,9;0;0;50;40,8;64;21,7;1149;4,1;1778;3;6135;3,1;10769;11,3;26032;2,1;244527;2,4;VG2525872;;
2017087;MARDI   ;31/10/2017;2;31/12/2017;46;12;43;36;1;3;5;-1-12-36-43-46-;-3-5-;0;0;0;0;0;0;1;3;317035,6;2;17;5169,6;79;352;266,3;261;1096;119,3;168;820;90,5;4141;19570;17,4;4276;20167;17,9;8909;42156;16,2;26451;124637;7,7;71873;334761;8,6;146392;675122;5,2;0;0;0;0;19;315,3;58;19;1140;3,3;1191;3,6;7519;2;14051;6,9;20327;2,1;219189;2,1;QP7466130;;
2017088;VENDREDI;03/11/2017;1;03/01/2018;41;5;33;17;12;4;9;-5-12-17-33-41-;-4-9-;0;1;28709464;0;3;356885,6;4;14;17812;14;73;1670,8;241;1083;120,1;536;2753;65,9;525;2301;44,7;7783;35152;13,4;8971;40572;12,3;19943;89458;10,6;38084;173864;7,7;124523;549552;7,3;270500;1198104;4,1;0;0;2;3174,8;64;22,4;138;10,4;2104;2,3;2256;2,5;9932;1,9;15408;8,2;32636;1,7;245560;2,5;TA4904958;;
2017089;MARDI   ;07/11/2017;2;07/01/2018;37;19;41;20;7;12;2;-7-19-20-37-41-;-2-12-;0;0;0;0;0;0;0;2;486971,7;7;22;4090,6;125;446;215,2;235;858;156,1;298;1210;62,8;3403;12194;28,7;5858;21728;17;15717;60738;11,5;17350;64618;15,3;89465;332500;8,9;240519;907965;4;0;0;1;5555,5;24;52,4;75;16,7;866;4,9;1470;3,3;4397;3,9;7032;15,8;23118;2,1;187312;2,9;MW9629538,GE1587855,UD7318133,BE6745076,SZ1026486;;
2017090;VENDREDI;10/11/2017;3;10/01/2018;37;36;29;22;13;1;9;-13-22-29-36-37-;-1-9-;0;0;0;0;0;0;3;8;180379,3;14;53;2515,8;324;1057;134,5;607;2100;94,5;832;2562;43,9;8145;28957;17,9;11016;39528;13,8;26294;90530;11,4;43424;153944;9,5;150173;549490;8;345461;1241136;4,3;0;0;0;0;93;104,2;136;13,1;1860;3,2;2555;2,7;10386;2,3;17619;8,9;35812;2;311356;2,4;FG8175531,QK3471034,IM8088282,MV9516998,LL3381983;;
2017091;MARDI   ;14/11/2017;4;14/01/2018;16;40;39;41;14;8;10;-14-16-39-40-41-;-8-10-;0;0;0;2;3;264446,7;0;1;184778;2;13;6952,3;78;421;228,9;173;922;145,9;200;981;77,7;2841;14331;24,5;4026;20209;18,3;9292;47162;14,9;16903;80222;12,3;62336;313177;9,5;150668;740469;4,9;1;4103,6;0;0;23;66,5;46;22,6;722;4,9;955;4,2;4206;3,3;8074;11,3;14967;2,7;177763;2,5;MA8969195;;
2017092;VENDREDI;17/11/2017;5;17/01/2018;35;36;26;42;20;5;12;-20-26-35-36-42-;-5-12-;0;0;0;0;0;0;1;5;296639,8;3;18;7613,9;132;661;221,1;222;1199;170,1;296;1502;77;3304;18349;29;5666;29453;19,1;14260;70888;15;18570;100915;14,9;88957;469372;9,6;230047;1134395;4,8;0;0;1;6333,5;25;57,4;54;26,5;755;6,4;1287;4,3;4362;4,5;7825;16,1;20261;2,8;232193;2,6;MK4446200;;
2017093;MARDI   ;21/11/2017;6;21/01/2018;31;28;10;2;14;7;5;-2-10-14-28-31-;-5-7-;0;0;0;2;4;215153,1;1;6;33407,7;17;78;1256,9;300;1097;95,3;638;2675;54,5;516;2066;40;7944;33869;11,2;9231;39261;10,2;16930;72995;10,4;36325;163151;6,6;109884;490855;6,5;195950;906994;4,3;1;4053,8;4;121;87;11,8;165;6,2;2038;1,7;2417;1,6;9140;1,5;14064;6,4;28482;1,4;195259;2,2;IJ9750793;;
2017094;VENDREDI;24/11/2017;7;24/01/2018;28;24;50;19;30;10;3;-19-24-28-30-50-;-3-10-;0;0;0;0;0;0;0;6;253061,5;12;49;2863,2;150;796;188;410;1854;112,6;404;1882;62,9;5902;26950;20,2;7937;38381;15;18906;88186;12,3;31611;140410;10,9;122117;577668;8;284918;1335049;4,2;0;0;2;3148,8;29;49,2;108;13,2;1377;3,5;1867;3;7484;2,6;11602;10,8;28356;2;235207;2,6;QJ9177306;;
2017095;MARDI   ;28/11/2017;8;28/01/2018;42;1;12;6;18;2;7;-1-6-12-18-42-;-2-7-;0;0;0;3;6;157546,2;2;6;36694,3;16;47;2291,2;242;888;129,3;623;2409;66,5;411;1815;50,1;7733;31595;13,2;8850;37638;11,7;16368;74992;11,1;37841;159087;7,4;112732;505364;7;206513;1000302;4,3;0;0;6;768,4;64;16,3;156;6,6;1952;1,8;2127;1,9;9593;1,4;14275;6,4;28191;1,4;193193;2,3;CN5869964;;
2017096;VENDREDI;01/12/2017;9;31/01/2018;5;46;29;35;24;11;12;-5-24-29-35-46-;-11-12-;0;0;0;0;3;442968,4;1;5;61903,4;3;28;5406,9;114;665;242,8;232;1257;179,3;303;1831;69,8;3506;19583;30;5544;30961;20,1;17455;89894;13;19477;107739;15,4;86718;462590;10,8;291839;1425495;4,3;0;0;1;6520;25;59,1;46;32,1;766;6,5;1175;4,9;4231;4,7;6869;18,9;19126;3,1;184835;3,4;CP1238751;;
2017097;MARDI   ;05/12/2017;10;04/02/2018;48;11;44;43;36;2;7;-11-36-43-44-48-;-2-7-;0;0;0;0;2;538407,7;0;8;31350,3;3;27;4543,5;103;538;243,2;337;1732;105,4;215;1303;79,5;5835;27668;17,2;5435;29385;17,1;11014;62963;15,1;37843;166184;8,1;89929;463148;8,7;178499;970404;5,1;0;0;0;0;23;283,8;82;14,7;1462;2,8;1251;3,8;9891;1,6;18434;5,7;21350;2,2;250752;2;QJ6203811;;
2017098;VENDREDI;08/12/2017;11;07/02/2018;34;32;22;30;4;4;3;-4-22-30-32-34-;-3-4-;0;0;0;1;3;477524,4;0;5;66732,5;12;48;3400;188;928;187,5;422;2165;112,2;366;1950;70,6;6403;31992;19,8;9715;46679;14,3;17907;91931;13,8;34356;166876;10,7;148843;706341;7,6;280172;1384859;4,7;0;0;2;3732,6;44;38,4;103;16,4;1382;4,1;2179;3;7380;3,1;12139;12,2;34356;1,9;327132;2,2;MI1414467;;
2017099;MARDI   ;12/12/2017;12;11/02/2018;39;20;37;50;44;4;8;-20-37-39-44-50-;-4-8-;0;0;0;0;3;402110,4;1;5;56193,6;5;35;3926,5;110;676;216,8;337;1859;110;257;1442;80,4;4970;27480;19,4;6257;36313;15,5;13207;74052;14,4;30658;160237;9,4;92336;514269;8,8;202667;1120517;4,9;0;0;0;0;32;223,3;69;19,1;1136;3,9;1444;3,6;7077;2,5;14280;8,1;21263;2,4;246107;2,3;MU5720718;;
2017100;VENDREDI;15/12/2017;13;14/02/2018;25;42;30;50;31;11;2;-25-30-31-42-50-;-2-11-;0;0;0;0;0;0;0;5;395737,8;4;42;4353,2;164;845;230,7;402;2063;131,9;326;2050;75,3;5940;31232;22,7;7596;42586;17,6;18094;99990;14,2;34099;171626;11,7;124660;659729;9,1;301981;1574363;4,7;0;0;0;0;36;263,5;93;18,8;1337;4,4;1736;3,9;7929;3;14373;10,7;27640;2,5;300061;2,5;VV3454556;;
2017101;MARDI   ;19/12/2017;1;18/02/2018;15;38;46;8;30;4;7;-8-15-30-38-46-;-4-7-;0;1;135346147;0;3;434845,8;0;7;43405,9;8;63;2359;203;957;165,6;493;2380;92,9;408;2168;57,8;7323;34567;16,7;8292;41492;14,7;18804;95559;12;41327;193533;8,4;119422;604183;8,1;240583;1287357;4,6;0;0;3;2019,2;42;32,6;126;10,8;1714;2,7;1949;2,7;9554;1,9;17637;6,8;27613;1,9;269877;2,1;IQ1624795;;
2017102;VENDREDI;22/12/2017;2;21/02/2018;5;30;24;31;43;3;6;-5-24-30-31-43-;-3-6-;0;0;0;0;3;391378,4;1;7;39067;14;46;2907,8;166;835;170,8;582;2178;91,4;395;1787;63,2;8010;32634;15,9;8353;38154;14,4;17422;78611;13,2;44702;176731;8,3;125978;564949;7,8;253950;1157067;4,6;0;0;2;3081,1;41;34;127;10,9;1811;2,6;1809;3;9946;1,9;17329;7,1;28035;2;260108;2,3;ON0857425;;
2017103;MARDI   ;26/12/2017;3;25/02/2018;30;4;17;44;43;10;2;-4-17-30-43-44-;-2-10-;0;0;0;0;3;235210,5;4;9;18261;6;27;2977,3;117;493;173,9;248;1053;113,6;262;1138;59,6;3460;14551;21,4;4457;21175;15,6;11057;50947;12,2;17948;75333;11,7;69118;310777;8,5;167119;754009;4,3;0;0;0;0;35;140,9;74;12,3;894;3,4;1071;3,3;4696;2,6;7473;10,7;17200;2,1;148059;2,6;QH7791782;;
2017104;VENDREDI;29/12/2017;1;28/02/2018;4;48;8;22;23;1;12;-4-8-22-23-48-;-1-12-;0;1;38906715;0;0;0;5;10;159959,5;8;31;4767,9;157;800;197;294;1587;138,6;490;2339;53,3;4330;22915;25;7125;36308;16,7;22581;111558;10,3;23125;120488;13,4;100467;518891;9,4;315403;1568634;3,8;0;0;1;6066,3;42;32,7;55;25;998;4,7;1670;3,2;5545;3,3;8799;13,7;23166;2,3;183141;3,2;AX6693049;;
2018001;MARDI   ;02/01/2018;2;04/03/2018;20;10;21;48;28;1;8;-10-20-21-28-48-;-1-8-;0;0;0;1;3;237898,1;0;1;166227,5;5;22;3695,7;120;536;161,8;277;1210;100;270;1135;60,4;4151;17609;17,9;5619;24060;13,8;12318;53024;11,9;19965;87475;10,2;79995;354721;7,5;176017;778317;4,2;0;0;1;3958,3;31;28,9;77;11,6;1100;2,7;1352;2,6;4853;2,5;7492;10,5;20042;1,7;147025;2,6;KO4821400;;
2018002;VENDREDI;05/01/2018;3;07/03/2018;41;38;20;5;2;4;8;-2-5-20-38-41-;-4-8-;0;0;0;2;7;155585,9;2;9;28184,9;8;42;2954,1;131;650;203,6;369;1790;103,2;289;1523;68,7;5939;28155;17,1;6673;32348;15,7;14769;71335;13,5;34235;156933;8,6;104860;490695;8,3;233450;1082488;4,6;0;0;2;2844;28;46;82;15,7;1384;3,1;1522;3,3;7915;2,2;13664;8,3;24441;2,1;226758;2,4;GE9854132;;
2018003;MARDI   ;09/01/2018;4;11/03/2018;6;49;38;12;15;9;2;-6-12-15-38-49-;-2-9-;0;0;0;2;3;274999;1;5;38430,2;7;28;3356,6;154;584;171,6;358;1474;94,9;247;1233;64,3;4905;22441;16,2;6071;28300;13,6;12427;57271;12,7;26163;119632;8,6;89654;415934;7,4;179276;837537;4,5;0;0;2;2199,4;41;24,3;92;10,8;1232;2,7;1556;2,5;6937;1,9;10531;8,3;22757;1,7;182181;2,3;OQ9217126;;
2018004;VENDREDI;12/01/2018;5;14/03/2018;45;30;21;13;23;6;4;-13-21-23-30-45-;-4-6-;0;0;0;0;3;402939,7;1;8;35193,4;18;62;2221,1;241;1034;142;647;2565;79,9;441;2160;53,8;8688;35886;14,9;9531;44300;12,7;20899;99615;10,7;43100;178250;8,4;130037;616246;7,3;282566;1372220;4;0;0;5;1317,6;53;28,1;171;8,7;2175;2,3;2383;2,4;10531;1,9;16486;7,9;32781;1,8;250248;2,5;OK4114246;;
2018005;MARDI   ;16/01/2018;6;18/03/2018;46;34;31;20;23;3;12;-20-23-31-34-46-;-3-12-;0;0;0;1;4;228761,6;1;5;42624,9;1;19;5486,6;113;554;200,7;170;1007;154,1;229;1297;67,8;2354;13688;29,6;4642;24410;17,5;11739;60992;13,2;13470;74728;15,3;68905;362340;9,4;174779;907204;4,6;0;0;1;5428,6;29;42,4;50;24,6;674;6,2;1260;3,8;3907;4,3;6695;16,2;19528;2,5;202288;2,6;PJ2991787;;
2018006;VENDREDI;19/01/2018;7;21/03/2018;44;3;17;50;8;2;7;-3-8-17-44-50-;-2-7-;0;0;0;1;4;317749,9;2;9;32892,2;17;64;2262,4;237;1032;149,6;651;2788;77,3;432;2246;54,4;9976;41751;13,4;9687;46628;12,7;18920;95116;11,8;52616;218796;7,2;144603;677323;7;271800;1353402;4,3;1;6289;2;375,4;56;28,4;158;10;2726;1,9;2597;2,4;14000;1,5;22839;6,1;38215;1,6;303840;2,2;KK1280078;;
2018007;MARDI   ;23/01/2018;8;25/03/2018;5;23;8;9;24;7;8;-5-8-9-23-24-;-7-8-;0;0;0;1;4;246214,1;0;8;28673;11;50;2243,9;298;1352;88,5;438;2015;82,9;458;2262;41,8;5800;26961;16,1;11149;49803;9,2;17948;88016;9,9;24751;123402;10;135119;632007;5,8;231918;1157590;3,9;0;0;4;1267,6;88;13;114;10;1419;2,7;3050;1,4;6266;2,5;8178;12,4;36549;1,2;206556;2,4;DA0467768;;
2018008;VENDREDI;26/01/2018;9;28/03/2018;28;15;24;48;6;9;4;-6-15-24-28-48-;-4-9-;0;0;0;0;1;1349899,3;2;14;22457,6;9;71;2166;264;1109;147,9;615;2875;79,6;506;2308;56,2;8385;40328;14,8;10253;46745;13,5;21319;101544;11,7;42188;208277;8,1;138213;650928;7,7;296086;1404360;4,4;0;0;4;1741,8;60;26,3;160;9,8;2188;2,4;2463;2,5;10370;2;17434;7,9;33748;1,8;277347;2,4;AR0662643;;
2018009;MARDI   ;30/01/2018;10;01/04/2018;11;15;35;27;21;5;4;-11-15-21-27-35-;-4-5-;0;0;0;1;5;211446,1;1;8;30780,1;11;62;1942,6;219;1090;117,8;367;1974;90,8;383;1972;51,5;5443;26715;17,5;9071;45781;10,8;17175;83903;11,1;26431;130826;10,1;121073;602610;6,5;236110;1144898;4,2;1;4922,6;0;0;48;38,2;82;15,2;1262;3,3;2304;2,1;6380;2,6;9831;11,2;29758;1,6;222888;2,4;NB1343201;;
